,model_type,direction,step,n_features,ap,roc_auc,precision,recall,f1,features
11,logreg,forward,12,12,0.13402139067274943,0.7241132500368541,0.09199659946563031,0.6411341515023276,0.1609048908714354,"['recent_sessions', 'history_Roll Advert', 'history_Downgrade', 'days_since_last_action', 'history_Thumbs Up', 'history_Thumbs Down', 'is_paid', 'recent_Roll Advert', 'history_Upgrade', 'recent_Upgrade', 'trend_status_rate', 'recent_Downgrade']"
12,logreg,forward,13,13,0.1341991164525102,0.7238284206760418,0.09190305533620846,0.6402877697841727,0.16073515351110168,"['recent_sessions', 'history_Roll Advert', 'history_Downgrade', 'days_since_last_action', 'history_Thumbs Up', 'history_Thumbs Down', 'is_paid', 'recent_Roll Advert', 'history_Upgrade', 'recent_Upgrade', 'trend_status_rate', 'recent_Downgrade', 'Linux']"
13,logreg,forward,14,14,0.13454327174376213,0.7235971214238955,0.09225159525979945,0.6424037240795599,0.1613348921245616,"['recent_sessions', 'history_Roll Advert', 'history_Downgrade', 'days_since_last_action', 'history_Thumbs Up', 'history_Thumbs Down', 'is_paid', 'recent_Roll Advert', 'history_Upgrade', 'recent_Upgrade', 'trend_status_rate', 'recent_Downgrade', 'Linux', 'iPad']"
14,logreg,forward,15,15,0.13478934608695553,0.7239159307667308,0.09253731343283582,0.6428269149386373,0.16178506763233572,"['recent_sessions', 'history_Roll Advert', 'history_Downgrade', 'days_since_last_action', 'history_Thumbs Up', 'history_Thumbs Down', 'is_paid', 'recent_Roll Advert', 'history_Upgrade', 'recent_Upgrade', 'trend_status_rate', 'recent_Downgrade', 'Linux', 'iPad', 'gender_F']"
15,logreg,forward,16,16,0.13494929357296645,0.7239406187298907,0.09240383448610605,0.6445196783749471,0.16163438577872113,"['recent_sessions', 'history_Roll Advert', 'history_Downgrade', 'days_since_last_action', 'history_Thumbs Up', 'history_Thumbs Down', 'is_paid', 'recent_Roll Advert', 'history_Upgrade', 'recent_Upgrade', 'trend_status_rate', 'recent_Downgrade', 'Linux', 'iPad', 'gender_F', 'trend_Submit downgrade']"
16,logreg,forward,17,17,0.13506012167101628,0.7239862532573116,0.09335529928610653,0.6474820143884892,0.1631825938566553,"['recent_sessions', 'history_Roll Advert', 'history_Downgrade', 'days_since_last_action', 'history_Thumbs Up', 'history_Thumbs Down', 'is_paid', 'recent_Roll Advert', 'history_Upgrade', 'recent_Upgrade', 'trend_status_rate', 'recent_Downgrade', 'Linux', 'iPad', 'gender_F', 'trend_Submit downgrade', 'recent_status']"
17,logreg,forward,18,18,0.13509612097294033,0.7239706640952307,0.09337643327640888,0.6479052052475667,0.1632283170744709,"['recent_sessions', 'history_Roll Advert', 'history_Downgrade', 'days_since_last_action', 'history_Thumbs Up', 'history_Thumbs Down', 'is_paid', 'recent_Roll Advert', 'history_Upgrade', 'recent_Upgrade', 'trend_status_rate', 'recent_Downgrade', 'Linux', 'iPad', 'gender_F', 'trend_Submit downgrade', 'recent_status', 'trend_upgrade']"
18,logreg,backward,1,47,0.13201677272360868,0.7225196951497638,0.0948960302457467,0.6373254337706306,0.16519497614215983,"['is_paid', 'gender_F', 'Linux', 'Macintosh', 'Windows', 'iPad', 'iPhone', 'days_since_last_action', 'recent_actions', 'recent_songs', 'recent_sessions', 'recent_status', 'recent_Add Friend', 'recent_Add to Playlist', 'recent_Downgrade', 'recent_Error', 'recent_Roll Advert', 'recent_Submit Downgrade', 'recent_Submit Upgrade', 'recent_Thumbs Down', 'recent_Thumbs Up', 'recent_Upgrade', 'history_actions', 'history_songs', 'history_sessions', 'history_status', 'history_Add Friend', 'history_Add to Playlist', 'history_Downgrade', 'history_Error', 'history_Roll Advert', 'history_Submit Downgrade', 'history_Submit Upgrade', 'history_Thumbs Down', 'history_Thumbs Up', 'history_Upgrade', 'trend_song_consumption', 'trend_error_rate', 'trend_status_rate', 'trend_thumbs_up', 'trend_thumbs_down', 'trend_add_to_playlist', 'trend_add_friend', 'trend_submit_upgrade', 'trend_upgrade', 'trend_downgrade', 'trend_Submit downgrade']"
19,logreg,backward,2,46,0.13258873071076882,0.7226377073023719,0.09503403075371818,0.6381718154887854,0.16543250507377544,"['is_paid', 'gender_F', 'Linux', 'Macintosh', 'Windows', 'iPad', 'iPhone', 'days_since_last_action', 'recent_actions', 'recent_songs', 'recent_sessions', 'recent_status', 'recent_Add Friend', 'recent_Add to Playlist', 'recent_Downgrade', 'recent_Error', 'recent_Roll Advert', 'recent_Submit Downgrade', 'recent_Submit Upgrade', 'recent_Thumbs Down', 'recent_Thumbs Up', 'recent_Upgrade', 'history_actions', 'history_songs', 'history_sessions', 'history_status', 'history_Add Friend', 'history_Add to Playlist', 'history_Downgrade', 'history_Error', 'history_Roll Advert', 'history_Submit Downgrade', 'history_Submit Upgrade', 'history_Thumbs Down', 'history_Thumbs Up', 'history_Upgrade', 'trend_song_consumption', 'trend_error_rate', 'trend_status_rate', 'trend_thumbs_up', 'trend_thumbs_down', 'trend_add_to_playlist', 'trend_add_friend', 'trend_submit_upgrade', 'trend_upgrade', 'trend_downgrade']"
20,logreg,backward,3,45,0.1328919194734838,0.7221836191631816,0.09434198971270857,0.6364790520524757,0.1643266866976236,"['is_paid', 'gender_F', 'Linux', 'Macintosh', 'Windows', 'iPad', 'iPhone', 'days_since_last_action', 'recent_actions', 'recent_songs', 'recent_sessions', 'recent_status', 'recent_Add Friend', 'recent_Add to Playlist', 'recent_Downgrade', 'recent_Error', 'recent_Roll Advert', 'recent_Submit Downgrade', 'recent_Submit Upgrade', 'recent_Thumbs Down', 'recent_Thumbs Up', 'recent_Upgrade', 'history_actions', 'history_songs', 'history_status', 'history_Add Friend', 'history_Add to Playlist', 'history_Downgrade', 'history_Error', 'history_Roll Advert', 'history_Submit Downgrade', 'history_Submit Upgrade', 'history_Thumbs Down', 'history_Thumbs Up', 'history_Upgrade', 'trend_song_consumption', 'trend_error_rate', 'trend_status_rate', 'trend_thumbs_up', 'trend_thumbs_down', 'trend_add_to_playlist', 'trend_add_friend', 'trend_submit_upgrade', 'trend_upgrade', 'trend_downgrade']"
21,logreg,backward,4,44,0.13319512793979987,0.7225216712407319,0.09458189790165988,0.6390181972069403,0.16477520733304235,"['is_paid', 'gender_F', 'Linux', 'Macintosh', 'Windows', 'iPad', 'iPhone', 'days_since_last_action', 'recent_actions', 'recent_songs', 'recent_sessions', 'recent_status', 'recent_Add Friend', 'recent_Add to Playlist', 'recent_Downgrade', 'recent_Error', 'recent_Roll Advert', 'recent_Submit Downgrade', 'recent_Submit Upgrade', 'recent_Thumbs Down', 'recent_Thumbs Up', 'recent_Upgrade', 'history_actions', 'history_songs', 'history_status', 'history_Add Friend', 'history_Add to Playlist', 'history_Downgrade', 'history_Error', 'history_Roll Advert', 'history_Submit Downgrade', 'history_Thumbs Down', 'history_Thumbs Up', 'history_Upgrade', 'trend_song_consumption', 'trend_error_rate', 'trend_status_rate', 'trend_thumbs_up', 'trend_thumbs_down', 'trend_add_to_playlist', 'trend_add_friend', 'trend_submit_upgrade', 'trend_upgrade', 'trend_downgrade']"
22,logreg,backward,5,43,0.13348399459626992,0.7222003939798433,0.09381038459141058,0.6369022429115531,0.16353363033793328,"['is_paid', 'gender_F', 'Linux', 'Macintosh', 'Windows', 'iPad', 'iPhone', 'days_since_last_action', 'recent_actions', 'recent_songs', 'recent_sessions', 'recent_status', 'recent_Add Friend', 'recent_Add to Playlist', 'recent_Error', 'recent_Roll Advert', 'recent_Submit Downgrade', 'recent_Submit Upgrade', 'recent_Thumbs Down', 'recent_Thumbs Up', 'recent_Upgrade', 'history_actions', 'history_songs', 'history_status', 'history_Add Friend', 'history_Add to Playlist', 'history_Downgrade', 'history_Error', 'history_Roll Advert', 'history_Submit Downgrade', 'history_Thumbs Down', 'history_Thumbs Up', 'history_Upgrade', 'trend_song_consumption', 'trend_error_rate', 'trend_status_rate', 'trend_thumbs_up', 'trend_thumbs_down', 'trend_add_to_playlist', 'trend_add_friend', 'trend_submit_upgrade', 'trend_upgrade', 'trend_downgrade']"
23,logreg,backward,6,42,0.1338120664044154,0.722136763850674,0.09402295982031444,0.637748624629708,0.16388450872709479,"['is_paid', 'gender_F', 'Linux', 'Macintosh', 'Windows', 'iPad', 'iPhone', 'days_since_last_action', 'recent_actions', 'recent_songs', 'recent_sessions', 'recent_status', 'recent_Add Friend', 'recent_Add to Playlist', 'recent_Error', 'recent_Roll Advert', 'recent_Submit Downgrade', 'recent_Submit Upgrade', 'recent_Thumbs Down', 'recent_Thumbs Up', 'recent_Upgrade', 'history_actions', 'history_songs', 'history_status', 'history_Add Friend', 'history_Add to Playlist', 'history_Downgrade', 'history_Error', 'history_Roll Advert', 'history_Thumbs Down', 'history_Thumbs Up', 'history_Upgrade', 'trend_song_consumption', 'trend_error_rate', 'trend_status_rate', 'trend_thumbs_up', 'trend_thumbs_down', 'trend_add_to_playlist', 'trend_add_friend', 'trend_submit_upgrade', 'trend_upgrade', 'trend_downgrade']"
24,logreg,backward,7,41,0.13397400046072297,0.7222614244515613,0.09397935066550565,0.6394413880660178,0.16387397646548452,"['is_paid', 'gender_F', 'Linux', 'Macintosh', 'Windows', 'iPad', 'iPhone', 'days_since_last_action', 'recent_actions', 'recent_songs', 'recent_sessions', 'recent_status', 'recent_Add Friend', 'recent_Error', 'recent_Roll Advert', 'recent_Submit Downgrade', 'recent_Submit Upgrade', 'recent_Thumbs Down', 'recent_Thumbs Up', 'recent_Upgrade', 'history_actions', 'history_songs', 'history_status', 'history_Add Friend', 'history_Add to Playlist', 'history_Downgrade', 'history_Error', 'history_Roll Advert', 'history_Thumbs Down', 'history_Thumbs Up', 'history_Upgrade', 'trend_song_consumption', 'trend_error_rate', 'trend_status_rate', 'trend_thumbs_up', 'trend_thumbs_down', 'trend_add_to_playlist', 'trend_add_friend', 'trend_submit_upgrade', 'trend_upgrade', 'trend_downgrade']"
25,logreg,backward,8,40,0.13406009659119603,0.7223961499424452,0.09386663349091814,0.6385950063478629,0.1636748196756874,"['is_paid', 'gender_F', 'Linux', 'Macintosh', 'Windows', 'iPad', 'iPhone', 'days_since_last_action', 'recent_actions', 'recent_songs', 'recent_sessions', 'recent_status', 'recent_Error', 'recent_Roll Advert', 'recent_Submit Downgrade', 'recent_Submit Upgrade', 'recent_Thumbs Down', 'recent_Thumbs Up', 'recent_Upgrade', 'history_actions', 'history_songs', 'history_status', 'history_Add Friend', 'history_Add to Playlist', 'history_Downgrade', 'history_Error', 'history_Roll Advert', 'history_Thumbs Down', 'history_Thumbs Up', 'history_Upgrade', 'trend_song_consumption', 'trend_error_rate', 'trend_status_rate', 'trend_thumbs_up', 'trend_thumbs_down', 'trend_add_to_playlist', 'trend_add_friend', 'trend_submit_upgrade', 'trend_upgrade', 'trend_downgrade']"
26,logreg,backward,9,39,0.13419228350300516,0.7224353116741176,0.09387628225054398,0.6390181972069403,0.1637033824804857,"['is_paid', 'gender_F', 'Linux', 'Macintosh', 'Windows', 'iPad', 'iPhone', 'days_since_last_action', 'recent_actions', 'recent_songs', 'recent_sessions', 'recent_status', 'recent_Roll Advert', 'recent_Submit Downgrade', 'recent_Submit Upgrade', 'recent_Thumbs Down', 'recent_Thumbs Up', 'recent_Upgrade', 'history_actions', 'history_songs', 'history_status', 'history_Add Friend', 'history_Add to Playlist', 'history_Downgrade', 'history_Error', 'history_Roll Advert', 'history_Thumbs Down', 'history_Thumbs Up', 'history_Upgrade', 'trend_song_consumption', 'trend_error_rate', 'trend_status_rate', 'trend_thumbs_up', 'trend_thumbs_down', 'trend_add_to_playlist', 'trend_add_friend', 'trend_submit_upgrade', 'trend_upgrade', 'trend_downgrade']"
27,logreg,backward,10,38,0.1343159276183245,0.7225156814894422,0.09376943166272851,0.6381718154887854,0.1635131471943616,"['is_paid', 'gender_F', 'Linux', 'Macintosh', 'Windows', 'iPad', 'iPhone', 'days_since_last_action', 'recent_actions', 'recent_songs', 'recent_sessions', 'recent_status', 'recent_Roll Advert', 'recent_Submit Downgrade', 'recent_Submit Upgrade', 'recent_Thumbs Down', 'recent_Thumbs Up', 'recent_Upgrade', 'history_actions', 'history_songs', 'history_status', 'history_Add Friend', 'history_Add to Playlist', 'history_Downgrade', 'history_Error', 'history_Roll Advert', 'history_Thumbs Down', 'history_Thumbs Up', 'history_Upgrade', 'trend_song_consumption', 'trend_error_rate', 'trend_status_rate', 'trend_thumbs_up', 'trend_thumbs_down', 'trend_add_to_playlist', 'trend_add_friend', 'trend_submit_upgrade', 'trend_upgrade']"
28,logreg,backward,11,37,0.13441679989710575,0.7227213442547635,0.0936936936936937,0.6381718154887854,0.16339798461371763,"['is_paid', 'gender_F', 'Linux', 'Macintosh', 'Windows', 'iPad', 'iPhone', 'days_since_last_action', 'recent_actions', 'recent_songs', 'recent_sessions', 'recent_status', 'recent_Roll Advert', 'recent_Submit Downgrade', 'recent_Submit Upgrade', 'recent_Thumbs Down', 'recent_Thumbs Up', 'recent_Upgrade', 'history_actions', 'history_songs', 'history_status', 'history_Add Friend', 'history_Add to Playlist', 'history_Downgrade', 'history_Error', 'history_Roll Advert', 'history_Thumbs Down', 'history_Thumbs Up', 'history_Upgrade', 'trend_song_consumption', 'trend_status_rate', 'trend_thumbs_up', 'trend_thumbs_down', 'trend_add_to_playlist', 'trend_add_friend', 'trend_submit_upgrade', 'trend_upgrade']"
29,logreg,backward,12,36,0.13450601350046248,0.7227918072673687,0.09358902749332837,0.6381718154887854,0.16323879627625026,"['is_paid', 'gender_F', 'Linux', 'Macintosh', 'Windows', 'iPad', 'iPhone', 'days_since_last_action', 'recent_actions', 'recent_songs', 'recent_sessions', 'recent_status', 'recent_Roll Advert', 'recent_Submit Downgrade', 'recent_Submit Upgrade', 'recent_Thumbs Down', 'recent_Thumbs Up', 'recent_Upgrade', 'history_actions', 'history_songs', 'history_status', 'history_Add Friend', 'history_Add to Playlist', 'history_Downgrade', 'history_Error', 'history_Roll Advert', 'history_Thumbs Down', 'history_Thumbs Up', 'history_Upgrade', 'trend_song_consumption', 'trend_status_rate', 'trend_thumbs_up', 'trend_thumbs_down', 'trend_add_friend', 'trend_submit_upgrade', 'trend_upgrade']"
30,logreg,backward,13,35,0.13460488881514102,0.7229616281338442,0.09350907734394429,0.6364790520524757,0.1630617444570933,"['is_paid', 'gender_F', 'Linux', 'Macintosh', 'Windows', 'iPad', 'iPhone', 'days_since_last_action', 'recent_actions', 'recent_songs', 'recent_sessions', 'recent_status', 'recent_Roll Advert', 'recent_Submit Downgrade', 'recent_Submit Upgrade', 'recent_Thumbs Down', 'recent_Thumbs Up', 'recent_Upgrade', 'history_actions', 'history_songs', 'history_Add Friend', 'history_Add to Playlist', 'history_Downgrade', 'history_Error', 'history_Roll Advert', 'history_Thumbs Down', 'history_Thumbs Up', 'history_Upgrade', 'trend_song_consumption', 'trend_status_rate', 'trend_thumbs_up', 'trend_thumbs_down', 'trend_add_friend', 'trend_submit_upgrade', 'trend_upgrade']"
31,logreg,backward,14,34,0.13464826936749494,0.723096081363306,0.09364506902126601,0.6373254337706306,0.16329628625643805,"['is_paid', 'gender_F', 'Linux', 'Macintosh', 'Windows', 'iPad', 'iPhone', 'days_since_last_action', 'recent_actions', 'recent_songs', 'recent_sessions', 'recent_status', 'recent_Roll Advert', 'recent_Submit Downgrade', 'recent_Submit Upgrade', 'recent_Thumbs Down', 'recent_Thumbs Up', 'recent_Upgrade', 'history_actions', 'history_songs', 'history_Add Friend', 'history_Add to Playlist', 'history_Downgrade', 'history_Error', 'history_Roll Advert', 'history_Thumbs Down', 'history_Thumbs Up', 'history_Upgrade', 'trend_song_consumption', 'trend_status_rate', 'trend_thumbs_up', 'trend_thumbs_down', 'trend_submit_upgrade', 'trend_upgrade']"
32,logreg,backward,15,33,0.13486494326139992,0.7235146789087114,0.0938082804923536,0.6385950063478629,0.16358610222776301,"['is_paid', 'gender_F', 'Linux', 'Macintosh', 'Windows', 'iPad', 'iPhone', 'days_since_last_action', 'recent_actions', 'recent_songs', 'recent_sessions', 'recent_status', 'recent_Roll Advert', 'recent_Submit Downgrade', 'recent_Submit Upgrade', 'recent_Thumbs Down', 'recent_Thumbs Up', 'recent_Upgrade', 'history_actions', 'history_songs', 'history_Add Friend', 'history_Add to Playlist', 'history_Downgrade', 'history_Error', 'history_Roll Advert', 'history_Thumbs Down', 'history_Thumbs Up', 'history_Upgrade', 'trend_song_consumption', 'trend_status_rate', 'trend_thumbs_down', 'trend_submit_upgrade', 'trend_upgrade']"
33,logreg,backward,16,32,0.13485434911231087,0.723521608401039,0.09396557081598408,0.6398645789250952,0.1638669123225317,"['is_paid', 'gender_F', 'Linux', 'Windows', 'iPad', 'iPhone', 'days_since_last_action', 'recent_actions', 'recent_songs', 'recent_sessions', 'recent_status', 'recent_Roll Advert', 'recent_Submit Downgrade', 'recent_Submit Upgrade', 'recent_Thumbs Down', 'recent_Thumbs Up', 'recent_Upgrade', 'history_actions', 'history_songs', 'history_Add Friend', 'history_Add to Playlist', 'history_Downgrade', 'history_Error', 'history_Roll Advert', 'history_Thumbs Down', 'history_Thumbs Up', 'history_Upgrade', 'trend_song_consumption', 'trend_status_rate', 'trend_thumbs_down', 'trend_submit_upgrade', 'trend_upgrade']"
34,logreg,backward,17,31,0.13519808374669226,0.7240853827628922,0.09388971684053651,0.6398645789250952,0.16375155683110412,"['is_paid', 'gender_F', 'Linux', 'Windows', 'iPad', 'days_since_last_action', 'recent_actions', 'recent_songs', 'recent_sessions', 'recent_status', 'recent_Roll Advert', 'recent_Submit Downgrade', 'recent_Submit Upgrade', 'recent_Thumbs Down', 'recent_Thumbs Up', 'recent_Upgrade', 'history_actions', 'history_songs', 'history_Add Friend', 'history_Add to Playlist', 'history_Downgrade', 'history_Error', 'history_Roll Advert', 'history_Thumbs Down', 'history_Thumbs Up', 'history_Upgrade', 'trend_song_consumption', 'trend_status_rate', 'trend_thumbs_down', 'trend_submit_upgrade', 'trend_upgrade']"
35,logreg,backward,18,30,0.1353258159650335,0.724423900319648,0.09398472903345956,0.6407109606432501,0.1639237765266349,"['is_paid', 'gender_F', 'Linux', 'iPad', 'days_since_last_action', 'recent_actions', 'recent_songs', 'recent_sessions', 'recent_status', 'recent_Roll Advert', 'recent_Submit Downgrade', 'recent_Submit Upgrade', 'recent_Thumbs Down', 'recent_Thumbs Up', 'recent_Upgrade', 'history_actions', 'history_songs', 'history_Add Friend', 'history_Add to Playlist', 'history_Downgrade', 'history_Error', 'history_Roll Advert', 'history_Thumbs Down', 'history_Thumbs Up', 'history_Upgrade', 'trend_song_consumption', 'trend_status_rate', 'trend_thumbs_down', 'trend_submit_upgrade', 'trend_upgrade']"
36,logreg,backward,19,29,0.13537352354564347,0.7244669615374971,0.09401390958768008,0.6407109606432501,0.16396815941950507,"['is_paid', 'gender_F', 'Linux', 'iPad', 'days_since_last_action', 'recent_actions', 'recent_songs', 'recent_sessions', 'recent_status', 'recent_Roll Advert', 'recent_Submit Downgrade', 'recent_Submit Upgrade', 'recent_Thumbs Down', 'recent_Thumbs Up', 'recent_Upgrade', 'history_actions', 'history_songs', 'history_Add Friend', 'history_Add to Playlist', 'history_Downgrade', 'history_Error', 'history_Roll Advert', 'history_Thumbs Down', 'history_Thumbs Up', 'history_Upgrade', 'trend_status_rate', 'trend_thumbs_down', 'trend_submit_upgrade', 'trend_upgrade']"
37,logreg,backward,20,28,0.13538759701736883,0.7245849736901053,0.09385654950096088,0.6407109606432501,0.1637287769006164,"['is_paid', 'gender_F', 'Linux', 'iPad', 'days_since_last_action', 'recent_actions', 'recent_songs', 'recent_sessions', 'recent_status', 'recent_Roll Advert', 'recent_Submit Downgrade', 'recent_Submit Upgrade', 'recent_Thumbs Down', 'recent_Thumbs Up', 'recent_Upgrade', 'history_actions', 'history_songs', 'history_Add Friend', 'history_Add to Playlist', 'history_Downgrade', 'history_Roll Advert', 'history_Thumbs Down', 'history_Thumbs Up', 'history_Upgrade', 'trend_status_rate', 'trend_thumbs_down', 'trend_submit_upgrade', 'trend_upgrade']"
38,logreg,backward,21,27,0.13539841557520968,0.7245703154864361,0.09391272005950906,0.6411341515023276,0.16382806163828062,"['is_paid', 'gender_F', 'Linux', 'iPad', 'days_since_last_action', 'recent_actions', 'recent_songs', 'recent_sessions', 'recent_status', 'recent_Roll Advert', 'recent_Submit Downgrade', 'recent_Submit Upgrade', 'recent_Thumbs Down', 'recent_Thumbs Up', 'recent_Upgrade', 'history_actions', 'history_Add Friend', 'history_Add to Playlist', 'history_Downgrade', 'history_Roll Advert', 'history_Thumbs Down', 'history_Thumbs Up', 'history_Upgrade', 'trend_status_rate', 'trend_thumbs_down', 'trend_submit_upgrade', 'trend_upgrade']"
39,logreg,backward,22,26,0.13541177940171506,0.7235537264662386,0.09327321020445982,0.6390181972069403,0.16278568348426045,"['is_paid', 'gender_F', 'Linux', 'iPad', 'days_since_last_action', 'recent_actions', 'recent_songs', 'recent_sessions', 'recent_status', 'recent_Roll Advert', 'recent_Submit Downgrade', 'recent_Submit Upgrade', 'recent_Thumbs Down', 'recent_Thumbs Up', 'recent_Upgrade', 'history_actions', 'history_Add Friend', 'history_Add to Playlist', 'history_Downgrade', 'history_Roll Advert', 'history_Thumbs Down', 'history_Upgrade', 'trend_status_rate', 'trend_thumbs_down', 'trend_submit_upgrade', 'trend_upgrade']"
40,logreg,backward,23,25,0.13544084074302587,0.7235455322756914,0.09309791332263243,0.6381718154887854,0.16249124508377782,"['is_paid', 'gender_F', 'Linux', 'iPad', 'days_since_last_action', 'recent_songs', 'recent_sessions', 'recent_status', 'recent_Roll Advert', 'recent_Submit Downgrade', 'recent_Submit Upgrade', 'recent_Thumbs Down', 'recent_Thumbs Up', 'recent_Upgrade', 'history_actions', 'history_Add Friend', 'history_Add to Playlist', 'history_Downgrade', 'history_Roll Advert', 'history_Thumbs Down', 'history_Upgrade', 'trend_status_rate', 'trend_thumbs_down', 'trend_submit_upgrade', 'trend_upgrade']"
41,logreg,backward,24,24,0.13538572511864755,0.7237974267870373,0.0935074534926697,0.6424037240795599,0.16325213744152284,"['is_paid', 'gender_F', 'Linux', 'iPad', 'days_since_last_action', 'recent_songs', 'recent_sessions', 'recent_status', 'recent_Roll Advert', 'recent_Submit Downgrade', 'recent_Submit Upgrade', 'recent_Thumbs Down', 'recent_Thumbs Up', 'recent_Upgrade', 'history_actions', 'history_Add Friend', 'history_Add to Playlist', 'history_Downgrade', 'history_Roll Advert', 'history_Thumbs Down', 'history_Upgrade', 'trend_status_rate', 'trend_submit_upgrade', 'trend_upgrade']"
42,logreg,backward,25,23,0.13530358049254057,0.7237851223272765,0.09305742622750092,0.6432501057977148,0.16259292934695405,"['is_paid', 'gender_F', 'Linux', 'iPad', 'days_since_last_action', 'recent_songs', 'recent_sessions', 'recent_Roll Advert', 'recent_Submit Downgrade', 'recent_Submit Upgrade', 'recent_Thumbs Down', 'recent_Thumbs Up', 'recent_Upgrade', 'history_actions', 'history_Add Friend', 'history_Add to Playlist', 'history_Downgrade', 'history_Roll Advert', 'history_Thumbs Down', 'history_Upgrade', 'trend_status_rate', 'trend_submit_upgrade', 'trend_upgrade']"
43,logreg,backward,26,22,0.1352608099239661,0.7237170130585799,0.09305606674027726,0.6419805332204824,0.16255022769890168,"['is_paid', 'gender_F', 'Linux', 'iPad', 'days_since_last_action', 'recent_songs', 'recent_sessions', 'recent_Roll Advert', 'recent_Submit Downgrade', 'recent_Thumbs Down', 'recent_Thumbs Up', 'recent_Upgrade', 'history_actions', 'history_Add Friend', 'history_Add to Playlist', 'history_Downgrade', 'history_Roll Advert', 'history_Thumbs Down', 'history_Upgrade', 'trend_status_rate', 'trend_submit_upgrade', 'trend_upgrade']"
44,logreg,backward,27,21,0.13540364953268652,0.7239166158115997,0.09321617303674573,0.6419805332204824,0.16279444116542363,"['is_paid', 'gender_F', 'Linux', 'iPad', 'days_since_last_action', 'recent_songs', 'recent_sessions', 'recent_Roll Advert', 'recent_Submit Downgrade', 'recent_Thumbs Down', 'recent_Thumbs Up', 'recent_Upgrade', 'history_actions', 'history_Add Friend', 'history_Add to Playlist', 'history_Downgrade', 'history_Roll Advert', 'history_Thumbs Down', 'history_Upgrade', 'trend_status_rate', 'trend_upgrade']"
45,logreg,backward,28,20,0.13537403033047812,0.7235570902121974,0.09323482720722921,0.6462124418112569,0.16295821994557388,"['is_paid', 'gender_F', 'Linux', 'iPad', 'days_since_last_action', 'recent_songs', 'recent_sessions', 'recent_Roll Advert', 'recent_Submit Downgrade', 'recent_Thumbs Up', 'recent_Upgrade', 'history_actions', 'history_Add Friend', 'history_Add to Playlist', 'history_Downgrade', 'history_Roll Advert', 'history_Thumbs Down', 'history_Upgrade', 'trend_status_rate', 'trend_upgrade']"
